StudentID,StudentFirstName,StudentLastName,StudentEmail,Major,SubjectCode,SubjectName,Credits,ClassID,ClassName,Semester,Year,LecturerID,LecturerFirstName,LecturerLastName,LecturerName,Office,Grade,GradeLetter,Note
41,Student31,Test31,student31@example.com,Statistics,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,0.23,F,
14,Student4,Test4,student4@example.com,Computer Science,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,7.66,C,
19,Student9,Test9,student9@example.com,Mathematics,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,6.38,D,
5,Huy,Dang,s5@example.com,Statistics,CS101,Introduction to Programming,3,2,Intro Programming - Group 1,S1,2024,2,Anna,Nguyen,Anna Nguyen,C305,6.74,D,
3,Khoa,Le,s3@example.com,Mathematics,CS101,Introduction to Programming,3,2,Intro Programming - Group 1,S1,2024,2,Anna,Nguyen,Anna Nguyen,C305,5.09,F,
25,Student15,Test15,student15@example.com,Statistics,CS101,Introduction to Programming,3,2,Intro Programming - Group 1,S1,2024,2,Anna,Nguyen,Anna Nguyen,C305,9.94,A,
28,Student18,Test18,student18@example.com,Physics,CS101,Introduction to Programming,3,2,Intro Programming - Group 1,S1,2024,2,Anna,Nguyen,Anna Nguyen,C305,8.91,B,
12,Student2,Test2,student2@example.com,Physics,CS101,Introduction to Programming,3,2,Intro Programming - Group 1,S1,2024,2,Anna,Nguyen,Anna Nguyen,C305,3.26,F,
38,Student28,Test28,student28@example.com,Computer Science,CS101,Introduction to Programming,3,2,Intro Programming - Group 1,S1,2024,2,Anna,Nguyen,Anna Nguyen,C305,6.36,D,
1,Minh,,minhhang@gmail.com,Academic English,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,2.26,F,
5,Huy,Dang,s5@example.com,Statistics,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,7.59,C,
6,Nhi,Lam,s6@example.com,Computer Science,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,3.69,F,
28,Student18,Test18,student18@example.com,Physics,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,1.42,F,
30,Student20,Test20,student20@example.com,Computer Science,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,2.02,F,
31,Student21,Test21,student21@example.com,Mathematics,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,5.53,F,
33,Student23,Test23,student23@example.com,Statistics,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,9.49,A,
38,Student28,Test28,student28@example.com,Computer Science,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,1.75,F,
14,Student4,Test4,student4@example.com,Computer Science,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,1.83,F,
15,Student5,Test5,student5@example.com,Mathematics,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,8.64,B,
16,Student6,Test6,student6@example.com,Physics,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,0.09,F,
18,Student8,Test8,student8@example.com,Computer Science,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,1.35,F,
4,An,Vu,s4@example.com,Computer Science,PHY101,Physics I,4,3,Physics I - Group 1,S1,2024,3,David,Tran,David Tran,A110,2.38,F,
